"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"193","Nino Niederreiter","CAR","R","58","734.05","12.656034482759","0.57","0.74","0.33","0.41","1.31","59.26","6.46","8.86","0.64","11.77","9.32","7.36","3.76","0.57","0.57","1.96","0.98","0.98","0","0","1.06","2.37","2.45","3.19","5.56","1.47","0.08","0.25","2.04"
"443","Brett Howden","NYR","C","59","625.91666666667","10.608757062147","0.58","0.38","0.19","0.19","0.96","50.00","5.37","10.71","0.64","7.96","6.71","5.18","3.74","0.19","0.67","1.34","0.67","0.67","0","0","0.29","1.92","1.15","4.89","4.98","3.45","15.72","18.98","4.34"
"487","Ilya Mikheyev","TOR","R","39","515.78333333333","13.225213675214","0.7","1.74","0.93","0.81","2.44","77.78","9.77","7.14","0.8","18.15","15.12","8.38","3.72","0.58","1.51","0.23","0.12","0.12","0","0","0.35","1.4","2.21","3.02","2.91","1.28","0.12","0.12","5.82"
"246","Yanni Gourde","T.B","C","60","692.95","11.549166666667","0.43","0.95","0.43","0.52","1.39","66.67","8.14","5.32","0.66","12.21","9.61","7.71","3.72","0.26","0.69","1.56","0.78","0.78","0","0","1.13","0.87","2.51","5.11","7.97","0.69","4.85","4.68","4.41"
"89","Mikael Backlund","CGY","C","61","843.46666666667","13.827322404372","0.21","1.07","0.64","0.43","1.28","50.00","6.69","3.19","0.7","13.23","10.1","7.97","3.7","0.57","1.21","0.71","0.36","0.36","0","0","0.28","2.92","2.7","2.06","3.41","0.5","16.79","18.57","3.38"
"233","J.T. Miller","VAN","C","60","845.66666666667","14.094444444444","1.14","1.35","0.71","0.64","2.48","71.43","6.6","17.20","0.69","12.84","10","7.88","3.69","0.21","0.85","1.99","0.71","0.64","0","0.07","0.85","2.13","2.34","6.24","3.41","1.84","21","14.54","4.19"
"403","Brock Boeser","VAN","R","56","747.05","13.340178571429","0.8","1.37","0.72","0.64","2.17","57.45","7.95","10.10","0.81","12.93","10.28","8.19","3.69","0.56","0.8","0.96","0.4","0.4","0","0","0.48","1.37","1.2","1.85","2.41","0.96","0.88","1.29","3.27"
"422","Noel Acciari","FLA","C","57","718.86666666667","12.611695906433","1.5","0.42","0.17","0.25","1.92","63.89","6.51","23.08","0.71","11.94","8.93","8.35","3.67","0.25","0.92","0.5","0.25","0.25","0","0","0.67","1.42","1.5","8.76","5.51","5.17","19.2","17.28","4.39"
"265","Oskar Sundqvist","STL","C","46","557.26666666667","12.114492753623","1.08","0.97","0.54","0.43","2.05","79.17","7.54","14.29","0.72","13.24","10.34","7.97","3.66","0.32","1.4","1.51","0.75","0.75","0","0","1.08","1.08","2.8","4.74","6.03","2.15","6.89","9.47","4.53"
"365","Ivan Barbashev","STL","C","58","655.2","11.296551724138","0.64","1.28","1.01","0.27","1.92","77.78","5.13","12.50","0.68","9.8","8.15","7.05","3.66","0.18","0.64","1.01","0.37","0.27","0.09","0","1.37","2.2","2.01","10.81","4.4","2.11","10.26","11.72","4.27"
"356","Alex Tuch","VGK","R","42","511.61666666667","12.181349206349","0.59","0.59","0.47","0.12","1.17","66.67","9.85","5.95","0.74","16.42","13.13","10.2","3.64","0.47","0.94","0.7","0.35","0.35","0","0","1.29","2.93","2.7","6.33","4.81","2.35","0.35","1.17","2.71"
